NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
JAYDEE M;HIP HOP / RAP ;;06/05/15;HTTPS://FACEBOOK.COM/MCJAYDEEM;HTTPS://TWITTER.COM/MCJAYDEEM;HTTPS://WWW.YOUTUBE.COM/C/MCJAYDEEM , HTTPS://WWW.INSTAGRAM.COM/MCJAYDEEM , HTTP://MCJAYDEEM.WIX.COM/JAYDEEM;CANTO EN LAS VENAS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=AMECGLEGXRA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=U-DM35K0JVW;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TPSSB0XYMHM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=O3DLYQYTHYY&FEATURE=YOUTU.BE;BARRACAS;1
NICO ASPRELA;POP;;06/05/15;HTTPS://FACEBOOK.COM/NICOASPRELA;HTTPS://TWITTER.COM/NICOASP;WWW.NICOASPRELA.COM;FANTASIA SALVAJE (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=13HNH8RFQ_C , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RF-HJE2TZHQ;;AGRONOMIA;1
INSTINTO NATURAL;POP ;POP ROCK;05/05/15;;;;ABRIENDO CASA (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=DGXGI2Z1128 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UZLF43WOU1W;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YE6JU0BWPGO;ADROGUE;4
LA SUMA DE LAS PARTES;ROCK ;;05/05/15;HTTPS://FACEBOOK.COM/LASUMADELASPARTES;;HTTPS://WWW.FACEBOOK.COM/LASUMADELASPARTES;;;HTTPS://YOUTU.BE/033QFEORVUU , HTTPS://YOUTU.BE/W1IHSFO3JRQ?T=1M50S;RETIRO;5
YIRA;ROCK ;;04/05/15;HTTPS://FACEBOOK.COM/PAGES/YIRA/738297536265784;;HTTPS://YIRA.BANDCAMP.COM;SANTOS IMPOSTORES (2014) , TINTO (2007) , ELECTROVIAJE PORTEÑO (2004);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZVCB_9LLNAQ;;FLORES;7
OCHOIGUALBE;PUNK ;;02/05/15;HTTPS://FACEBOOK.COM/OCHOIGUALBE;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=H39OZGQJI14&SPFRELOAD=1 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=2E4UNYVQ78Q;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ET_SIYKP-LO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=37BJVX9NB2M;NUÑEZ;3
LLAMAS RACATAM;ROCK ;POWER TRIO;02/05/15;;;HTTPS://SOUNDCLOUD.COM/SEARCH?Q=LLAMAS%20RACATAM , HTTPS://WWW.FACEBOOK.COM/LLAMASRACATAMROCK;HACEME PIE (2014) , TODO SIGUE AUNQUE TE DETENGAS (2012) , NIÑO JOVEN HOMBRE (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=-GYJDHFQQKQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UV8GHVTVD8O;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-GYJDHFQQKQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UV8GHVTVD8O;LA BOCA;4
LA MOQUI BAND;POP ;POP CANCION;30/04/15;HTTPS://FACEBOOK.COM/NINGUNO;HTTPS://TWITTER.COM/NINGUNO;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GOS3MTZWWGG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GOS3MTZWWGG;RECOLETA;4
MATIAS A. MASSARI;INSTRUMENTAL ;;29/04/15;HTTPS://FACEBOOK.COM/MATIAS.A.MASSARI;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RC_LYUUQTPW&AB_CHANNEL=LAPETITTEMARIELA;BOEDO;1
EVAN SOUR;POP ;;29/04/15;HTTPS://FACEBOOK.COM/EVANSOUR;HTTPS://TWITTER.COM/EVAN_SOUR;WWW.YOUTUBE.COM/EVANSOURMUSIC , WWW.EVANSOUR.COM;THIS IS THE MOMENT (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=9NNOBAW28JG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=8CCZFH5KY_0;NUÑEZ;1
